epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,9513.64,0.52118,0.46999,0.91081,0.93062,0.8529,0.93278,0.7908,0.6041,0.54517,0.95804,0.000231213,0.000231213,0.000231213
89,9602.87,0.52838,0.45459,0.92266,0.92702,0.86364,0.94026,0.80291,0.59729,0.53879,0.95692,0.00021471,0.00021471,0.00021471
90,9691.17,0.51837,0.44358,0.94569,0.90509,0.87542,0.94124,0.79896,0.60304,0.54337,0.97769,0.000198206,0.000198206,0.000198206
91,9782.67,0.42256,0.37782,0.86711,0.89968,0.88586,0.9381,0.78901,0.61621,0.55541,0.98501,0.000181703,0.000181703,0.000181703
92,9872.53,0.47889,0.38318,0.88164,0.90089,0.89173,0.93521,0.79208,0.61205,0.5606,0.97272,0.0001652,0.0001652,0.0001652
93,9961.15,0.42611,0.37329,0.8435,0.91229,0.87475,0.93145,0.79596,0.58836,0.57057,0.96091,0.000148696,0.000148696,0.000148696
94,10056.6,0.42427,0.40762,0.85942,0.94063,0.87294,0.9313,0.79981,0.5795,0.57185,0.9615,0.000132193,0.000132193,0.000132193
95,10145.8,0.40374,0.36221,0.8353,0.94481,0.87101,0.92951,0.79719,0.57854,0.58283,0.96152,0.00011569,0.00011569,0.00011569
96,10244.7,0.42639,0.36902,0.87081,0.9512,0.87301,0.92507,0.7923,0.58788,0.59029,0.96301,9.91865e-05,9.91865e-05,9.91865e-05
97,10354.9,0.40594,0.35132,0.85124,0.95544,0.87377,0.92429,0.79508,0.58711,0.59134,0.96156,8.26832e-05,8.26832e-05,8.26832e-05
98,10470.9,0.41258,0.3524,0.85618,0.94276,0.8646,0.9225,0.79214,0.58825,0.59388,0.95858,6.61799e-05,6.61799e-05,6.61799e-05
99,10559.7,0.40037,0.35687,0.85727,0.93917,0.87086,0.92208,0.79277,0.59137,0.5895,0.95922,4.96766e-05,4.96766e-05,4.96766e-05
100,10647,0.39181,0.33552,0.84163,0.92977,0.87475,0.92151,0.78632,0.59669,0.58615,0.96217,3.31733e-05,3.31733e-05,3.31733e-05
